GROUP_NAME,N,AVG_PROB,MEDIAN_PROB,POSITIVE_SHARE
electricians,10028,0.08576250482929426,4.999999873689376e-05,0.079278
"pipelayers, plumbers, pipefitters, and steamfitters",4230,0.08516484616933491,9.999999747378752e-05,0.078723
surface mining machine operators and earth drillers,2250,0.08569280007810448,9.999999747378752e-05,0.078667
printing workers,1713,0.08544705180518962,0.0,0.078225
petroleum engineers,2510,0.08592725083369851,9.999999747378752e-05,0.078088
aircraft mechanics and service technicians,4392,0.08144476316633757,9.999999747378752e-05,0.072632
crane and tower operators,1383,0.07704793922930259,9.999999747378752e-05,0.068691
cost estimators,10077,0.07228201836142852,0.0,0.066786
bus and truck mechanics and diesel engine specialists,1587,0.0739432261247983,0.0,0.065532
machinists,3193,0.06555571553388653,0.0,0.061384
computer numerically controlled tool operators and programmers,2314,0.06578638722093585,0.0,0.060933
"welding, soldering, and brazing workers",2781,0.06220614888017391,9.999999747378752e-05,0.057533
