OCCUPATION,COMPANY_TYPE,N,POSITIVE_SHARE
"miscellaneous life, physical, and social science technicians",public,2666,0.118530
chiropractors,private,2555,0.621135
proofreaders and copy markers,private,2934,0.157123
public relations and fundraising managers,public_subsidiary,3243,0.155720
payroll and timekeeping clerks,private,7146,0.103694
credit analysts,public,2004,0.093313
artists and related workers,private,64115,0.105903
miscellaneous computer occupations,government,22166,0.168231
"miscellaneous sales representatives, services",public_subsidiary,11496,0.142658
social science research assistants,private,4439,0.269430
electrical and electronics engineers,public,10037,0.073229
education and childcare administrators,nonprofit,4867,0.509554
marketing and sales managers,educational,3216,0.215485
data scientists,nonprofit,13556,0.175494
public relations and fundraising managers,educational,3482,0.340896
computer support specialists,educational,3641,0.149959
registered nurses,educational,3934,0.460346
marine engineers and naval architects,private,2265,0.097572
preschool and kindergarten teachers,educational,6803,0.393797
"broadcast, sound, and lighting technicians",private,5984,0.083389
instructional coordinators,public,2024,0.305336
"transportation, storage, and distribution managers",government,4652,0.156922
credit counselors and loan officers,public_subsidiary,2032,0.143701
market research analysts and marketing specialists,public,7390,0.128552
tellers,public,2555,0.153033
"arts, communications, history, and humanities teachers, postsecondary",nonprofit,2260,0.376106
miscellaneous financial specialists,private,4115,0.108384
mechanical engineers,government,2684,0.109165
secretaries and administrative assistants,educational,16174,0.293248
tutors,private,5093,0.387394
training and development managers,private,15537,0.279719
instructional coordinators,private,8239,0.440952
registered nurses,public,5150,0.440000
"adult basic education, adult secondary education, and english as a second language instructors",educational,3802,0.433456
military officer special and tactical operations leaders,government,2113,0.153336
"industrial engineers, including health and safety",government,2022,0.153808
miscellaneous engineers,private,94545,0.107060
computer and information systems managers,private,134225,0.142239
bartenders,private,9207,0.160096
chief executives,nonprofit,140918,0.477200
real estate brokers and sales agents,private,216293,0.246319
lawyers and judicial law clerks,public,12609,0.088984
special education teachers,educational,4378,0.480813
miscellaneous computer occupations,public,134808,0.084350
lawyers and judicial law clerks,private,102105,0.170481
"compensation, benefits, and job analysis specialists",private,9436,0.230182
human resources workers,public_subsidiary,6991,0.241167
drafters,private,20335,0.149053
secretaries and administrative assistants,public_subsidiary,7400,0.127568
education and childcare administrators,educational,7463,0.443789
massage therapists,private,4016,0.406375
human resources managers,public_subsidiary,6097,0.228801
"property, real estate, and community association managers",private,27318,0.159638
training and development specialists,public,3005,0.252246
"software and web developers, programmers, and testers",educational,6301,0.156007
civil engineers,public,7386,0.133360
miscellaneous health technologists and technicians,nonprofit,13252,0.335195
supervisors of food preparation and serving workers,private,14605,0.118453
buyers and purchasing agents,private,6447,0.079262
"meeting, convention, and event planners",private,14462,0.153990
database and network administrators and architects,public_subsidiary,4604,0.067550
data scientists,government,6469,0.169114
food service managers,public_subsidiary,2069,0.124698
public relations specialists,nonprofit,5371,0.333457
veterinarians,private,3788,0.346093
astronomers and physicists,private,3674,0.146979
"meeting, convention, and event planners",nonprofit,3848,0.285603
food preparation workers,private,3835,0.199478
