OCCUPATION,SEX,N,AVG_PROB,POSITIVE_SHARE
"substitute teachers, short-term",female,15352,0.37221641370683367,0.361647
first-line supervisors of production and operating workers,female,5113,0.14281897098675753,0.136319
chief executives,male,1518484,0.21034575684470483,0.198897
miscellaneous engineers,male,122086,0.09509726655166723,0.089093
miscellaneous computer occupations,male,321757,0.10159375103056247,0.093937
accountants and auditors,male,46946,0.08719872175030635,0.082520
general and operations managers,male,239636,0.1527445819673826,0.142299
human resources workers,male,45886,0.24401871978430625,0.229678
"miscellaneous sales representatives, services",male,110364,0.12478066100989567,0.117239
miscellaneous managers,male,83894,0.1702591839360607,0.159249
"miscellaneous sales representatives, services",female,67413,0.1766532548577062,0.168335
paralegals and legal assistants,female,36254,0.15738025833124858,0.151045
bartenders,male,5820,0.13680991390954667,0.127663
human resources workers,female,88245,0.29927995410992486,0.283008
designers,female,36589,0.15600829461874965,0.147285
teaching assistants,female,20676,0.3722077858747574,0.362014
computer support specialists,female,15463,0.15677213957501412,0.148677
food service managers,female,9566,0.16455593739008684,0.156074
astronomers and physicists,male,6563,0.13809241177285328,0.130733
physicians,female,16953,0.4273469048379205,0.417448
training and development managers,female,17874,0.4242004799867643,0.408414
telemarketers,male,5393,0.16303641728214383,0.154089
medical scientists,female,5760,0.3885723946226828,0.378472
instructional coordinators,female,11580,0.47369616434079503,0.457945
"securities, commodities, and financial services sales agents",male,135834,0.1274263016980134,0.118983
"property, real estate, and community association managers",female,22219,0.18530402334217905,0.176381
"property, real estate, and community association managers",male,14551,0.15401368257916628,0.145420
industrial production managers,male,33181,0.09894757232071665,0.089358
preschool and kindergarten teachers,female,33288,0.40290577558864066,0.392844
miscellaneous motor vehicle operators,male,6052,0.13043797072587293,0.122935
miscellaneous social scientists and related workers,male,8519,0.22223979297387986,0.211762
"tax examiners, collectors and preparers, and revenue agents",female,10430,0.13906649050905892,0.132598
electrical and electronics engineers,male,25381,0.07821540507704666,0.072732
photographers,male,24836,0.11229801077020414,0.104284
human resources managers,female,91372,0.28223678222441784,0.265880
"actors, producers, and directors",male,36885,0.18220692656365098,0.173350
customer service representatives,male,36648,0.15092960018440257,0.142600
mechanical engineers,male,40026,0.09076388080165881,0.085345
"math and computer science teachers, postsecondary",male,18278,0.24981054216150006,0.238046
bartenders,female,6699,0.1933207190222396,0.186744
preschool and kindergarten teachers,male,7749,0.3338231761144255,0.324816
health practitioner support technologists and technicians,male,9163,0.32974889128703866,0.321510
health practitioner support technologists and technicians,female,27697,0.3525378767467932,0.343756
fast food and counter workers,female,5476,0.2694061170515388,0.261687
"human resources assistants, except payroll and timekeeping",female,6679,0.2680312465084339,0.255727
physician assistants,female,11913,0.4249136560125727,0.417191
"television, video, and film camera operators and editors",male,9140,0.08050932152585973,0.074617
"math and computer science teachers, postsecondary",female,14775,0.37350485850857285,0.358443
construction equipment operators,male,5130,0.11274339150852461,0.105068
psychologists,male,8761,0.5130740999709993,0.496176
"sales representatives, wholesale and manufacturing",male,7853,0.138949547621717,0.133707
secondary school teachers,male,11683,0.3888370012098069,0.379012
training and development specialists,female,10718,0.38916186678350617,0.373670
miscellaneous legal support workers,female,7659,0.20479089910342022,0.196240
"meeting, convention, and event planners",female,18390,0.19542891751815644,0.184611
"compensation, benefits, and job analysis specialists",male,6157,0.22848026595201196,0.214553
training and development specialists,male,7271,0.2723426483068887,0.257599
public relations and fundraising managers,male,27154,0.2090496902514751,0.196693
insurance sales agents,male,16144,0.27658753637292555,0.264309
